Regione,e_12_19,e_20_29,e_30_39,e_40_49,e_50_59,e_60_69,e_70_79,e_80_89,e_90_,over_80
Abruzzo,92684,130083,150713,190060,204157,167705,130572,84488,19515,104003
Basilicata,41943,61183,65204,78467,87822,72817,51805,36107,7823,43930
Calabria,149525,213889,236668,266417,286804,241215,175208,107720,23058,130778
Campania,509030,693479,715258,835597,868684,670867,484380,255273,49044,304317
Emilia-Romagna,324726,420660,501241,693312,704097,542211,457129,297666,71687,369353
Friuli-Venezia Giulia,84946,109351,125629,178677,196083,155789,141409,83307,20186,103493
Lazio,429319,564461,682708,906328,932830,697089,552007,331378,69227,400605
Liguria,101710,136323,147602,212370,252685,202775,186034,125810,30159,155969
Lombardia,765276,986159,1164199,1545073,1592109,1189118,996209,609477,128163,737640
Marche,110094,146739,166387,224450,236194,193166,155941,107825,25540,133365
Molise,20956,32122,34661,42214,47443,40509,30291,21038,5219,26257
Piemonte,307148,406190,459367,632745,688698,558231,477416,306712,64688,371400
Provincia Autonoma Bolzano / Bozen,46311,61094,63127,75664,83539,57041,46613,27108,6165,33273
Provincia Autonoma Trento,44701,57755,61062,78088,85805,67027,52316,30464,7922,38386
Puglia,321751,439275,460961,583292,605586,490900,390534,222224,45902,268126
Sardegna,109048,152275,185432,250930,266068,223641,170857,95172,21111,116283
Sicilia,404722,559157,589747,698439,732965,601201,456965,263130,52785,315915
Toscana,263891,339743,401488,556667,587110,463253,410151,259653,60936,320589
Umbria,62519,81348,97163,127832,135299,110539,95004,62778,15139,77917
Valle d'Aosta/Vallée d'Aoste,9465,11870,13174,18555,20757,16060,13089,7800,1764,9564
Veneto,374250,481226,532841,742052,799460,603210,494443,293030,65510,358540
Italia,4574015,6084382,6854632,8937229,9414195,7364364,5968373,3628160,791543,4419703
